id,unit,topic,topicTitle,stimulusType,stimulusText,stimulusImageUrl,stimulusImageAlt,stimulusSource,question,choiceA,choiceB,choiceC,choiceD,answer,explanation
3.3-ev1,3,3.3,3.3 Empires: Belief Systems,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in multiethnic empires",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in multiethnic empires?",religious policy for legitimacy,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Rulers used tolerance, patronage, or orthodoxy to stabilize diverse populations. This evidence aligns with institutional change in multiethnic empires."
3.3-ev2,3,3.3,3.3 Empires: Belief Systems,image,,https://commons.wikimedia.org/wiki/Special:FilePath/OttomanEmpireIn1683.png,Ottoman Empire extent map,https://commons.wikimedia.org/wiki/File:OttomanEmpireIn1683.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,religious policy for legitimacy,Great Zimbabwe trade networks,manorial and feudal ties,1,"Rulers used tolerance, patronage, or orthodoxy to stabilize diverse populations. The image context points most directly to this process."
3.3-ev3,3,3.3,3.3 Empires: Belief Systems,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to multiethnic empires",,,,Which of the following was an important long-term effect of religious policy for legitimacy?,state legitimacy through institutions,caravanserai-supported Silk Road trade,religious policy for legitimacy,Pax Mongolica connectivity,2,"Rulers used tolerance, patronage, or orthodoxy to stabilize diverse populations. This development had durable long-term consequences."
3.3-ev4,3,3.3,3.3 Empires: Belief Systems,image,,https://commons.wikimedia.org/wiki/Special:FilePath/OttomanEmpireIn1683.png,Ottoman Empire extent map,https://commons.wikimedia.org/wiki/File:OttomanEmpireIn1683.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,religious policy for legitimacy,3,"Rulers used tolerance, patronage, or orthodoxy to stabilize diverse populations. Historians use visual evidence like this to support broader process arguments."
3.3-ev5,3,3.3,3.3 Empires: Belief Systems,none,,,,,Which claim is best supported by historical evidence from 3.3 Empires: Belief Systems?,religious policy for legitimacy,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,"Rulers used tolerance, patronage, or orthodoxy to stabilize diverse populations. This is the most historically defensible claim supported by the evidence."
3.4-ev1,3,3.4,3.4 Comparison in Land-Based Empires,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Eurasian empires",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Eurasian empires?",comparative imperial institutions,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Military recruitment, revenue systems, and legitimacy strategies varied by empire. This evidence aligns with institutional change in Eurasian empires."
3.4-ev2,3,3.4,3.4 Comparison in Land-Based Empires,image,,https://commons.wikimedia.org/wiki/Special:FilePath/OttomanEmpireIn1683.png,Ottoman Empire extent map,https://commons.wikimedia.org/wiki/File:OttomanEmpireIn1683.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,comparative imperial institutions,Great Zimbabwe trade networks,manorial and feudal ties,1,"Military recruitment, revenue systems, and legitimacy strategies varied by empire. The image context points most directly to this process."
3.4-ev3,3,3.4,3.4 Comparison in Land-Based Empires,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Eurasian empires",,,,Which of the following was an important long-term effect of comparative imperial institutions?,state legitimacy through institutions,caravanserai-supported Silk Road trade,comparative imperial institutions,Pax Mongolica connectivity,2,"Military recruitment, revenue systems, and legitimacy strategies varied by empire. This development had durable long-term consequences."
3.4-ev4,3,3.4,3.4 Comparison in Land-Based Empires,image,,https://commons.wikimedia.org/wiki/Special:FilePath/OttomanEmpireIn1683.png,Ottoman Empire extent map,https://commons.wikimedia.org/wiki/File:OttomanEmpireIn1683.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,comparative imperial institutions,3,"Military recruitment, revenue systems, and legitimacy strategies varied by empire. Historians use visual evidence like this to support broader process arguments."
3.4-ev5,3,3.4,3.4 Comparison in Land-Based Empires,none,,,,,Which claim is best supported by historical evidence from 3.4 Comparison in Land-Based Empires?,comparative imperial institutions,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,"Military recruitment, revenue systems, and legitimacy strategies varied by empire. This is the most historically defensible claim supported by the evidence."
4.1-ev1,4,4.1,4.1 Technological Innovations,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in maritime exploration",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in maritime exploration?",advances in navigation technology,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Improved ship design and instruments supported sustained oceanic travel. This evidence aligns with institutional change in maritime exploration.
4.1-ev2,4,4.1,4.1 Technological Innovations,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,advances in navigation technology,Great Zimbabwe trade networks,manorial and feudal ties,1,Improved ship design and instruments supported sustained oceanic travel. The image context points most directly to this process.
4.1-ev3,4,4.1,4.1 Technological Innovations,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to maritime exploration",,,,Which of the following was an important long-term effect of advances in navigation technology?,state legitimacy through institutions,caravanserai-supported Silk Road trade,advances in navigation technology,Pax Mongolica connectivity,2,Improved ship design and instruments supported sustained oceanic travel. This development had durable long-term consequences.
4.1-ev4,4,4.1,4.1 Technological Innovations,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,advances in navigation technology,3,Improved ship design and instruments supported sustained oceanic travel. Historians use visual evidence like this to support broader process arguments.
4.1-ev5,4,4.1,4.1 Technological Innovations,none,,,,,Which claim is best supported by historical evidence from 4.1 Technological Innovations?,advances in navigation technology,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,Improved ship design and instruments supported sustained oceanic travel. This is the most historically defensible claim supported by the evidence.
4.2-ev1,4,4.2,4.2 Exploration: Causes and Events,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Atlantic and Indian Oceans",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Atlantic and Indian Oceans?",state-sponsored exploration,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,European monarchies funded voyages to access trade and strategic advantage. This evidence aligns with institutional change in the Atlantic and Indian Oceans.
4.2-ev2,4,4.2,4.2 Exploration: Causes and Events,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,state-sponsored exploration,Great Zimbabwe trade networks,manorial and feudal ties,1,European monarchies funded voyages to access trade and strategic advantage. The image context points most directly to this process.
4.2-ev3,4,4.2,4.2 Exploration: Causes and Events,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Atlantic and Indian Oceans",,,,Which of the following was an important long-term effect of state-sponsored exploration?,state legitimacy through institutions,caravanserai-supported Silk Road trade,state-sponsored exploration,Pax Mongolica connectivity,2,European monarchies funded voyages to access trade and strategic advantage. This development had durable long-term consequences.
4.2-ev4,4,4.2,4.2 Exploration: Causes and Events,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,state-sponsored exploration,3,European monarchies funded voyages to access trade and strategic advantage. Historians use visual evidence like this to support broader process arguments.
4.2-ev5,4,4.2,4.2 Exploration: Causes and Events,none,,,,,Which claim is best supported by historical evidence from 4.2 Exploration: Causes and Events?,state-sponsored exploration,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,European monarchies funded voyages to access trade and strategic advantage. This is the most historically defensible claim supported by the evidence.
4.3-ev1,4,4.3,4.3 Columbian Exchange,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Atlantic world",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Atlantic world?",Columbian biological exchange,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Crops, animals, diseases, and people moved between hemispheres after 1492. This evidence aligns with institutional change in the Atlantic world."
4.3-ev2,4,4.3,4.3 Columbian Exchange,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,Columbian biological exchange,Great Zimbabwe trade networks,manorial and feudal ties,1,"Crops, animals, diseases, and people moved between hemispheres after 1492. The image context points most directly to this process."
4.3-ev3,4,4.3,4.3 Columbian Exchange,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Atlantic world",,,,Which of the following was an important long-term effect of Columbian biological exchange?,state legitimacy through institutions,caravanserai-supported Silk Road trade,Columbian biological exchange,Pax Mongolica connectivity,2,"Crops, animals, diseases, and people moved between hemispheres after 1492. This development had durable long-term consequences."
4.3-ev4,4,4.3,4.3 Columbian Exchange,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,Columbian biological exchange,3,"Crops, animals, diseases, and people moved between hemispheres after 1492. Historians use visual evidence like this to support broader process arguments."
4.3-ev5,4,4.3,4.3 Columbian Exchange,none,,,,,Which claim is best supported by historical evidence from 4.3 Columbian Exchange?,Columbian biological exchange,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,"Crops, animals, diseases, and people moved between hemispheres after 1492. This is the most historically defensible claim supported by the evidence."
4.4-ev1,4,4.4,4.4 Maritime Empires Established,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in European colonial empires",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in European colonial empires?",maritime imperial conquest,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Naval projection and military campaigns established overseas colonial rule. This evidence aligns with institutional change in European colonial empires.
4.4-ev2,4,4.4,4.4 Maritime Empires Established,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,maritime imperial conquest,Great Zimbabwe trade networks,manorial and feudal ties,1,Naval projection and military campaigns established overseas colonial rule. The image context points most directly to this process.
4.4-ev3,4,4.4,4.4 Maritime Empires Established,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to European colonial empires",,,,Which of the following was an important long-term effect of maritime imperial conquest?,state legitimacy through institutions,caravanserai-supported Silk Road trade,maritime imperial conquest,Pax Mongolica connectivity,2,Naval projection and military campaigns established overseas colonial rule. This development had durable long-term consequences.
4.4-ev4,4,4.4,4.4 Maritime Empires Established,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,maritime imperial conquest,3,Naval projection and military campaigns established overseas colonial rule. Historians use visual evidence like this to support broader process arguments.
4.4-ev5,4,4.4,4.4 Maritime Empires Established,none,,,,,Which claim is best supported by historical evidence from 4.4 Maritime Empires Established?,maritime imperial conquest,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,Naval projection and military campaigns established overseas colonial rule. This is the most historically defensible claim supported by the evidence.
4.5-ev1,4,4.5,4.5 Maritime Empires Maintained and Developed,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in colonial economies",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in colonial economies?",coerced labor extraction,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Encomienda, slavery, and plantation labor supported imperial wealth. This evidence aligns with institutional change in colonial economies."
4.5-ev2,4,4.5,4.5 Maritime Empires Maintained and Developed,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,coerced labor extraction,Great Zimbabwe trade networks,manorial and feudal ties,1,"Encomienda, slavery, and plantation labor supported imperial wealth. The image context points most directly to this process."
4.5-ev3,4,4.5,4.5 Maritime Empires Maintained and Developed,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to colonial economies",,,,Which of the following was an important long-term effect of coerced labor extraction?,state legitimacy through institutions,caravanserai-supported Silk Road trade,coerced labor extraction,Pax Mongolica connectivity,2,"Encomienda, slavery, and plantation labor supported imperial wealth. This development had durable long-term consequences."
4.5-ev4,4,4.5,4.5 Maritime Empires Maintained and Developed,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,coerced labor extraction,3,"Encomienda, slavery, and plantation labor supported imperial wealth. Historians use visual evidence like this to support broader process arguments."
4.5-ev5,4,4.5,4.5 Maritime Empires Maintained and Developed,none,,,,,Which claim is best supported by historical evidence from 4.5 Maritime Empires Maintained and Developed?,coerced labor extraction,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,"Encomienda, slavery, and plantation labor supported imperial wealth. This is the most historically defensible claim supported by the evidence."
4.6-ev1,4,4.6,4.6 Internal and External Challenges to State Power,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Atlantic empires",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Atlantic empires?",anti-imperial resistance,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Enslaved and colonized peoples resisted through revolt, maroonage, and coalition-building. This evidence aligns with institutional change in Atlantic empires."
4.6-ev2,4,4.6,4.6 Internal and External Challenges to State Power,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,anti-imperial resistance,Great Zimbabwe trade networks,manorial and feudal ties,1,"Enslaved and colonized peoples resisted through revolt, maroonage, and coalition-building. The image context points most directly to this process."
4.6-ev3,4,4.6,4.6 Internal and External Challenges to State Power,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Atlantic empires",,,,Which of the following was an important long-term effect of anti-imperial resistance?,state legitimacy through institutions,caravanserai-supported Silk Road trade,anti-imperial resistance,Pax Mongolica connectivity,2,"Enslaved and colonized peoples resisted through revolt, maroonage, and coalition-building. This development had durable long-term consequences."
4.6-ev4,4,4.6,4.6 Internal and External Challenges to State Power,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,anti-imperial resistance,3,"Enslaved and colonized peoples resisted through revolt, maroonage, and coalition-building. Historians use visual evidence like this to support broader process arguments."
4.6-ev5,4,4.6,4.6 Internal and External Challenges to State Power,none,,,,,Which claim is best supported by historical evidence from 4.6 Internal and External Challenges to State Power?,anti-imperial resistance,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,"Enslaved and colonized peoples resisted through revolt, maroonage, and coalition-building. This is the most historically defensible claim supported by the evidence."
4.7-ev1,4,4.7,4.7 Changing Social Hierarchies,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Americas",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Americas?",racialized social hierarchies,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Colonial caste systems assigned legal status by ancestry. This evidence aligns with institutional change in the Americas.
4.7-ev2,4,4.7,4.7 Changing Social Hierarchies,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,racialized social hierarchies,Great Zimbabwe trade networks,manorial and feudal ties,1,Colonial caste systems assigned legal status by ancestry. The image context points most directly to this process.
4.7-ev3,4,4.7,4.7 Changing Social Hierarchies,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Americas",,,,Which of the following was an important long-term effect of racialized social hierarchies?,state legitimacy through institutions,caravanserai-supported Silk Road trade,racialized social hierarchies,Pax Mongolica connectivity,2,Colonial caste systems assigned legal status by ancestry. This development had durable long-term consequences.
4.7-ev4,4,4.7,4.7 Changing Social Hierarchies,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,racialized social hierarchies,3,Colonial caste systems assigned legal status by ancestry. Historians use visual evidence like this to support broader process arguments.
4.7-ev5,4,4.7,4.7 Changing Social Hierarchies,none,,,,,Which claim is best supported by historical evidence from 4.7 Changing Social Hierarchies?,racialized social hierarchies,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,Colonial caste systems assigned legal status by ancestry. This is the most historically defensible claim supported by the evidence.
4.8-ev1,4,4.8,4.8 Continuity and Change,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in early modern global systems",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in early modern global systems?",continuity of forced labor,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Economic expansion did not eliminate coercive labor structures. This evidence aligns with institutional change in early modern global systems.
4.8-ev2,4,4.8,4.8 Continuity and Change,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,continuity of forced labor,Great Zimbabwe trade networks,manorial and feudal ties,1,Economic expansion did not eliminate coercive labor structures. The image context points most directly to this process.
4.8-ev3,4,4.8,4.8 Continuity and Change,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to early modern global systems",,,,Which of the following was an important long-term effect of continuity of forced labor?,state legitimacy through institutions,caravanserai-supported Silk Road trade,continuity of forced labor,Pax Mongolica connectivity,2,Economic expansion did not eliminate coercive labor structures. This development had durable long-term consequences.
4.8-ev4,4,4.8,4.8 Continuity and Change,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Triangular_trade.png,Atlantic triangular trade map,https://commons.wikimedia.org/wiki/File:Triangular_trade.png,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,continuity of forced labor,3,Economic expansion did not eliminate coercive labor structures. Historians use visual evidence like this to support broader process arguments.
4.8-ev5,4,4.8,4.8 Continuity and Change,none,,,,,Which claim is best supported by historical evidence from 4.8 Continuity and Change?,continuity of forced labor,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,Economic expansion did not eliminate coercive labor structures. This is the most historically defensible claim supported by the evidence.
5.1-ev1,5,5.1,5.1 The Enlightenment,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the Atlantic intellectual world",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the Atlantic intellectual world?",Enlightenment political thought,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,"Thinkers argued for rights, reason, and limits on arbitrary authority. This evidence aligns with institutional change in the Atlantic intellectual world."
5.1-ev2,5,5.1,5.1 The Enlightenment,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,Nineteenth-century labor scene,https://commons.wikimedia.org/wiki/File:Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,Enlightenment political thought,Great Zimbabwe trade networks,manorial and feudal ties,1,"Thinkers argued for rights, reason, and limits on arbitrary authority. The image context points most directly to this process."
5.1-ev3,5,5.1,5.1 The Enlightenment,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the Atlantic intellectual world",,,,Which of the following was an important long-term effect of Enlightenment political thought?,state legitimacy through institutions,caravanserai-supported Silk Road trade,Enlightenment political thought,Pax Mongolica connectivity,2,"Thinkers argued for rights, reason, and limits on arbitrary authority. This development had durable long-term consequences."
5.1-ev4,5,5.1,5.1 The Enlightenment,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,Nineteenth-century labor scene,https://commons.wikimedia.org/wiki/File:Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,Enlightenment political thought,3,"Thinkers argued for rights, reason, and limits on arbitrary authority. Historians use visual evidence like this to support broader process arguments."
5.1-ev5,5,5.1,5.1 The Enlightenment,none,,,,,Which claim is best supported by historical evidence from 5.1 The Enlightenment?,Enlightenment political thought,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,"Thinkers argued for rights, reason, and limits on arbitrary authority. This is the most historically defensible claim supported by the evidence."
5.2-ev1,5,5.2,5.2 Nationalism and Revolutions,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in the age of revolutions",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in the age of revolutions?",revolutionary nationalism,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Popular sovereignty and nationalism fueled independence and reform movements. This evidence aligns with institutional change in the age of revolutions.
5.2-ev2,5,5.2,5.2 Nationalism and Revolutions,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,Nineteenth-century labor scene,https://commons.wikimedia.org/wiki/File:Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,revolutionary nationalism,Great Zimbabwe trade networks,manorial and feudal ties,1,Popular sovereignty and nationalism fueled independence and reform movements. The image context points most directly to this process.
5.2-ev3,5,5.2,5.2 Nationalism and Revolutions,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to the age of revolutions",,,,Which of the following was an important long-term effect of revolutionary nationalism?,state legitimacy through institutions,caravanserai-supported Silk Road trade,revolutionary nationalism,Pax Mongolica connectivity,2,Popular sovereignty and nationalism fueled independence and reform movements. This development had durable long-term consequences.
5.2-ev4,5,5.2,5.2 Nationalism and Revolutions,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,Nineteenth-century labor scene,https://commons.wikimedia.org/wiki/File:Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,revolutionary nationalism,3,Popular sovereignty and nationalism fueled independence and reform movements. Historians use visual evidence like this to support broader process arguments.
5.2-ev5,5,5.2,5.2 Nationalism and Revolutions,none,,,,,Which claim is best supported by historical evidence from 5.2 Nationalism and Revolutions?,revolutionary nationalism,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,Popular sovereignty and nationalism fueled independence and reform movements. This is the most historically defensible claim supported by the evidence.
5.3-ev1,5,5.3,5.3 Industrial Revolution Begins,text,"""In many regions, rulers sought durable authority by reorganizing institutions, expanding administrative capacity, and linking political legitimacy to social order."" - Historical synthesis on state development in Britain",,,,"Based on the excerpt, which historical development best supports the argument about institutional change in Britain?",factory mechanization in Britain,civil service examination system,ulama legal authority,Delhi Sultanate governance,0,Textile machinery and wage labor transformed production. This evidence aligns with institutional change in Britain.
5.3-ev2,5,5.3,5.3 Industrial Revolution Begins,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,Nineteenth-century labor scene,https://commons.wikimedia.org/wiki/File:Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,"Based on the image, which process is most directly associated with the historical context shown?",Inca mita labor system,factory mechanization in Britain,Great Zimbabwe trade networks,manorial and feudal ties,1,Textile machinery and wage labor transformed production. The image context points most directly to this process.
5.3-ev3,5,5.3,5.3 Industrial Revolution Begins,text,"""Long-distance exchange transformed societies by moving goods, ideas, and people across regional boundaries while creating new tensions and inequalities."" - Comparative interpretation relevant to Britain",,,,Which of the following was an important long-term effect of factory mechanization in Britain?,state legitimacy through institutions,caravanserai-supported Silk Road trade,factory mechanization in Britain,Pax Mongolica connectivity,2,Textile machinery and wage labor transformed production. This development had durable long-term consequences.
5.3-ev4,5,5.3,5.3 Industrial Revolution Begins,image,,https://commons.wikimedia.org/wiki/Special:FilePath/Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,Nineteenth-century labor scene,https://commons.wikimedia.org/wiki/File:Ateliers_nationaux_au_Champ-de-Mars_(Bouton).jpg,A historian would most likely use the image as evidence for which broader pattern in world history?,monsoon-based navigation,gold-salt exchange routes,cross-cultural diffusion,factory mechanization in Britain,3,Textile machinery and wage labor transformed production. Historians use visual evidence like this to support broader process arguments.
5.3-ev5,5,5.3,5.3 Industrial Revolution Begins,none,,,,,Which claim is best supported by historical evidence from 5.3 Industrial Revolution Begins?,factory mechanization in Britain,Black Death transmission,maritime scale advantages,gunpowder military expansion,0,Textile machinery and wage labor transformed production. This is the most historically defensible claim supported by the evidence.
